"song" "line" "artist"
"410" "A Screw (Holy Money) (Mix)" "Open your mouth (Here's your money)" "Swans"
"411" "A Screw (Holy Money) (Mix)" "Open your mouth (Here's your money)" "Swans"
"412" "A Screw (Holy Money) (Mix)" "(Here's your money)" "Swans"
"413" "A Screw (Holy Money) (Mix)" "(Here's your money)" "Swans"
"414" "A Screw (Holy Money) (Mix)" "(Here's your money)" "Swans"
"415" "A Screw (Holy Money) (Mix)" "(Here's your money)" "Swans"
"416" "A Screw (Holy Money) (Mix)" "(Here's your money)" "Swans"
"417" "A Screw (Holy Money) (Mix)" "(Here's your money)" "Swans"
"418" "A Screw (Holy Money) (Mix)" "Open your mouth" "Swans"
"419" "A Screw (Holy Money) (Mix)" "Here's your money" "Swans"
"420" "A Screw (Holy Money) (Mix)" "Open your mouth" "Swans"
"421" "A Screw (Holy Money) (Mix)" "Here's your money" "Swans"
"422" "A Screw (Holy Money) (Mix)" "Here's your money" "Swans"
"423" "A Screw (Holy Money) (Mix)" "This is yours" "Swans"
"424" "A Screw (Holy Money) (Mix)" "This is yours" "Swans"
"425" "A Screw (Holy Money) (Mix)" "Here's your money" "Swans"
"426" "A Screw (Holy Money) (Mix)" "Here's your money" "Swans"
"427" "A Screw (Holy Money) (Mix)" "Open your mouth" "Swans"
"428" "A Screw (Holy Money) (Mix)" "Open your mouth" "Swans"
"429" "A Screw (Holy Money) (Mix)" "This is yours" "Swans"
"430" "A Screw (Holy Money) (Mix)" "This is yours" "Swans"
"431" "A Screw (Holy Money) (Mix)" "Open your mouth" "Swans"
